Zulassungsbezirk;Insgesamt;Benzin;Diesel;Gas;Hybrid.insgesamt;Hybrid.Plug-in;Elektro
09778  UNTERALLGAEU;93855;58676;33986;679;372;65;121
09779  DONAU-RIES;88220;54225;32801;624;458;61;103
09780  OBERALLGAEU;97337;61275;35012;558;315;99;159
11000  BERLIN;1202829;863140;307976;15984;13337;1445;2007
12051  BRANDENBURG/HAVEL,STADT;34077;25104;8453;253;229;20;22
12052  COTTBUS, STADT;48369;35984;11697;343;292;20;27
12053  FRANKFURT/ODER,STADT;28137;21392;6201;342;165;15;19
12054  POTSDAM,STADT;73608;50889;21263;840;489;87;96
12060  BARNIM;101968;72978;26838;1405;623;55;83
12061  DAHME-SPREEWALD;99840;68305;29059;1490;854;60;97
12062  ELBE-ELSTER;63087;44224;17848;656;294;19;31
12063  HAVELLAND;90795;63773;25181;1126;610;58;73
12064  MAERKISCH-ODERLAND;113510;81250;29884;1555;717;57;57
12065  OBERHAVEL;118699;84506;31611;1703;773;72;74
12066  OBERSPREEWALD-LAUSITZ;65243;46030;18212;604;341;29;21
12067  ODER-SPREE;105111;74707;28607;1238;479;46;47
12068  OSTPRIGNITZ-RUPPIN;57285;38330;18014;718;168;20;38
12069  POTSDAM-MITTELMARK;124491;82867;39384;1445;616;88;143
12070  PRIGNITZ;45015;30711;13702;431;140;7;14
12071  SPREE-NEISSE;70448;51540;18025;562;259;24;34
12072  TELTOW-FLAEMING;99646;67897;29779;1396;483;83;62
12073  UCKERMARK;67702;49209;17445;651;345;22;29
04011  BREMEN, STADT;240790;159722;76427;2914;1422;252;264
04012  BREMERHAVEN,STADT;49398;33760;14581;617;383;36;43
02000  HAMBURG;783255;504715;265809;6149;5053;1116;1387
06411  DARMSTADT,STADT;72133;45820;24954;690;551;107;111
06412  FRANKFURT AM MAIN,STADT;333768;186420;141909;2476;2364;552;527
06413  OFFENBACH AM MAIN,STADT;55311;34923;19368;513;412;58;76
06414  WIESBADEN,STADT;144754;92655;49752;1186;883;223;234
06431  BERGSTRASSE;168710;113408;52700;1465;891;153;211
06432  DARMSTADT-DIEBURG;183533;123648;56454;1835;1372;177;200
06433  GROSS-GERAU;172590;120025;49916;1573;826;155;227
06434  HOCHTAUNUSKREIS;165590;104517;58516;1052;1156;216;290
06435  MAIN-KINZIG-KREIS;250734;165612;81040;2112;1695;133;223
06436  MAIN-TAUNUS-KREIS;184579;112882;69397;976;1123;210;170
06437  ODENWALDKREIS;60803;40043;19581;699;415;43;60
06438  OFFENBACH;209956;140117;66359;1869;1392;198;180
06439  RHEINGAU-TAUNUS-KREIS;118752;78953;37912;1039;647;151;169
06440  WETTERAUKREIS;185403;122323;60241;1579;1050;132;180
06531  GIESSEN;148945;95912;50220;1726;892;143;156
06532  LAHN-DILL-KREIS;159274;104274;52833;1473;520;102;131
06533  LIMBURG-WEILBURG;108695;69115;37810;1159;494;70;89
06534  MARBURG-BIEDENKOPF;139059;92884;44095;1357;546;72;158
06535  VOGELSBERGKREIS;70120;45349;23716;687;289;30;52
06611  KASSEL,STADT;88186;57769;28825;1066;401;93;113
06631  FULDA;137811;88477;47436;1250;507;76;103
06632  HERSFELD-ROTENBURG;76634;50176;25307;896;167;34;72
06633  KASSEL, LAND;144955;99443;43135;1727;465;94;156
06634  SCHWALM-EDER-KREIS;115369;76041;37169;1639;368;87;120
06635  WALDECK-FRANKENBERG;101708;65887;34012;1393;301;54;94
06636  WERRA-MEISSNER-KREIS;61522;40415;20116;784;155;35;37
13003  ROSTOCK, STADT;83609;59093;23191;792;442;31;54
13004  SCHWERIN, STADT;43273;29741;12798;436;232;29;38
13071  MECKLENBURGISCHE SEENPLA.;142517;95412;45275;1123;611;47;55
13072  ROSTOCK;122514;78719;42137;1047;496;70;62
13073  VORPOMMERN-RUEGEN;119946;80754;37598;944;546;52;70
13074  NORDWESTMECKLENBURG;87946;57961;28645;1015;266;34;39
13075  VORPOMMERN-GREIFSWALD;123287;85978;35658;970;586;48;53
13076  LUDWIGSLUST-PARCHIM;125720;80600;43132;1537;349;35;47
03101  BRAUNSCHWEIG,STADT;136300;84276;49479;1495;772;334;254
03102  SALZGITTER,STADT;53957;36164;16678;909;161;48;39
03103  WOLFSBURG,STADT;139983;89708;47329;789;1501;1406;639
03151  GIFHORN;103246;64159;37450;1161;399;81;70
03153  GOSLAR;78512;52432;24830;917;276;55;42
03154  HELMSTEDT;54200;34923;18337;724;164;59;48
03155  NORTHEIM;85449;57890;26361;942;163;39;72
03157  PEINE;81204;55139;24402;1335;249;83;65
03158  WOLFENBUETTEL;73109;49280;22509;1021;230;51;51
03159  GOETTINGEN;180125;120997;56273;2004;674;104;146
03241  HANNOVER;572392;383723;177695;7279;2877;552;684
03251  DIEPHOLZ;135900;88576;44860;1744;537;70;151
03252  HAMELN-PYRMONT;89808;62368;25887;1086;360;47;90
03254  HILDESHEIM;157375;108369;46565;1695;588;87;133
03255  HOLZMINDEN;43880;30270;12868;615;94;22;22
03256  NIENBURG(WESER);75042;48157;25171;1147;417;58;135
03257  SCHAUMBURG;98156;67671;28603;1388;400;42;77
03351  CELLE;106433;68576;36173;1294;285;61;79
03352  CUXHAVEN;121802;77342;41840;2025;501;59;71
03353  HARBURG;160346;101640;55747;1732;1040;136;156
03354  LUECHOW-DANNENBERG;29879;18099;10912;742;94;17;29
03355  LUENEBURG;101101;63849;35613;1045;481;84;102
03356  OSTERHOLZ;70048;46728;21915;1123;199;45;72
03357  ROTENBURG(WUEMME);108661;62996;43742;1406;407;53;92
03358  HEIDEKREIS;85308;53009;30820;1201;204;60;59
03359  STADE;120636;77863;40877;1229;531;70;115
03360  UELZEN;55234;36220;18219;554;196;57;34
03361  VERDEN;84286;54716;28246;1016;226;56;66
03401  DELMENHORST,STADT;41417;28944;11548;642;251;17;23
03402  EMDEN,STADT;24051;16223;7343;410;54;24;15
03403  OLDENBURG(OLDENB),STADT;86139;53411;30537;1602;464;71;108
03404  OSNABRUECK,STADT;82596;53222;27518;1056;663;98;127
03405  WILHELMSHAVEN,STADT;39327;27815;10675;680;137;13;9
03451  AMMERLAND;77341;47612;28119;1269;255;59;61
03452  AURICH;113696;72205;38391;2663;327;54;98
03453  CLOPPENBURG;96120;49106;45143;1615;178;42;63
03454  EMSLAND;192441;102639;85655;3569;459;115;110
03455  FRIESLAND;63752;40803;21279;1406;201;21;41
03456  GRAFSCHAFT BENTHEIM;81171;41075;37258;2518;253;34;55
03457  LEER;99465;60998;35763;2376;257;60;56
03458  OLDENBURG(OLDENBURG);80772;49316;29580;1485;278;33;94
03459  OSNABRUECK;222669;141486;77317;2870;778;117;188
03460  VECHTA;83800;45973;36456;1010;283;55;62
03461  WESERMARSCH;52028;32488;18221;1150;114;18;38
03462  WITTMUND;34902;22143;11819;816;103;8;16
05111  DUESSELDORF, STADT;307571;183176;118266;3482;2179;412;404
05112  DUISBURG,STADT;227480;161379;59774;5353;861;93;75
